Time_Index,Price_mmbtu_z1,Price_mmbtu_z2,Price_mmbtu_z3,Price_mmbtu_z4,Price_mmbtu_z5,Price_mmbtu_z6,Price_mmbtu_z7,Price_mmbtu_z8,Price_mmbtu_z9
209,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
210,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
211,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
212,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
213,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
214,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
215,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
216,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
217,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
218,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
219,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
220,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
221,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
222,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
223,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
224,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
225,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
226,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
227,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
228,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
229,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
230,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
231,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
232,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
233,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
234,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
235,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
236,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
237,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
238,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
239,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
240,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
241,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
242,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
243,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
244,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
245,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
246,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
247,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
248,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
249,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
250,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
251,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
252,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
253,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
254,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
255,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
256,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
257,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
258,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
259,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
260,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
261,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
262,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
263,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
264,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
265,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
266,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
267,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
268,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
269,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
270,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
271,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
272,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
273,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
274,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
275,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
276,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
277,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
278,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
279,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
280,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
281,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
282,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
283,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
284,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
285,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
286,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
287,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
288,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
289,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
290,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
291,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
292,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
293,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
294,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
295,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
296,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
297,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
298,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
299,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
300,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
301,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
302,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
303,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
304,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
305,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
306,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
307,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
308,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
309,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
310,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
311,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
312,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
313,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
314,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
315,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
316,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
317,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
318,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
319,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
320,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
321,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
322,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
323,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
324,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
325,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
326,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
327,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
328,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
329,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
330,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
331,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
332,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
333,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
334,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
335,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
336,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
337,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
338,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
339,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
340,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
341,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
342,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
343,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
344,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
345,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
346,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
347,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
348,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
349,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
350,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
