ng_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,267,46647,35541,37797,55800,147384,61620,81008,99937,71160
,268,46647,35541,37797,55800,147384,61620,81008,99937,71160
,269,46647,35541,37797,55800,147384,61620,81008,99937,71160
,270,46647,35541,37797,55800,147384,61620,81008,99937,71160
,271,46647,35541,37797,55800,147384,61620,81008,99937,71160
,272,46647,35541,37797,55800,147384,61620,81008,99937,71160
,273,46647,35541,37797,55800,147384,61620,81008,99937,71160
,274,46647,35541,37797,55800,147384,61620,81008,99937,71160
,275,46647,35541,37797,55800,147384,61620,81008,99937,71160
,276,46647,35541,37797,55800,147384,61620,81008,99937,71160
,277,46647,35541,37797,55800,147384,61620,81008,99937,71160
,278,46647,35541,37797,55800,147384,61620,81008,99937,71160
,279,46647,35541,37797,55800,147384,61620,81008,99937,71160
,280,46647,35541,37797,55800,147384,61620,81008,99937,71160
,281,46647,35541,37797,55800,147384,61620,81008,99937,71160
,282,46647,35541,37797,55800,147384,61620,81008,99937,71160
,283,46647,35541,37797,55800,147384,61620,81008,99937,71160
,284,46647,35541,37797,55800,147384,61620,81008,99937,71160
,285,46647,35541,37797,55800,147384,61620,81008,99937,71160
,286,46647,35541,37797,55800,147384,61620,81008,99937,71160
,287,46647,35541,37797,55800,147384,61620,81008,99937,71160
,288,46647,35541,37797,55800,147384,61620,81008,99937,71160
,289,46647,35541,37797,55800,147384,61620,81008,99937,71160
,290,46647,35541,37797,55800,147384,61620,81008,99937,71160
,291,46647,35541,37797,55800,147384,61620,81008,99937,71160
,292,46647,35541,37797,55800,147384,61620,81008,99937,71160
,293,46647,35541,37797,55800,147384,61620,81008,99937,71160
,294,46647,35541,37797,55800,147384,61620,81008,99937,71160
,295,46647,35541,37797,55800,147384,61620,81008,99937,71160
,296,46647,35541,37797,55800,147384,61620,81008,99937,71160
,297,46647,35541,37797,55800,147384,61620,81008,99937,71160
,298,46647,35541,37797,55800,147384,61620,81008,99937,71160
,299,46647,35541,37797,55800,147384,61620,81008,99937,71160
,300,46647,35541,37797,55800,147384,61620,81008,99937,71160
,301,46647,35541,37797,55800,147384,61620,81008,99937,71160
