,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t66,11913.105271021388,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11129.89020678805,3356.050167942193,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3179.3457842005787,1375.0725301520847,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1517.4218003008098
t67,11743.913285062283,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10960.698220828945,3286.5133541813066,0,-0.0,0,0,-0.0,9.392996123438207,0.0,0.0,-0.0,-3130.9987078127356,1560.6411902971856,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1494.3031856147863
t68,11575.772181003545,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10792.557116770207,3264.0456090075877,0,-13.937548735355676,0,0,-0.0,9.247954894274676,0.0,0.0,-0.0,-3082.651631424892,1537.5225756111622,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1471.184570928763
t69,11596.789819010888,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10813.57475477755,3048.415358185611,0,-0.0,0,0,-0.0,83.40185983922927,0.0,0.0,-0.0,-3088.9577718233063,1540.6751139774383,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1474.337109295039
t70,11264.711138494882,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10481.496074261544,3054.9331396887555,0,-0.0,0,0,-0.0,8.98309699754127,0.0,0.0,-0.0,-2994.3656658470904,1495.4887307274835,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1429.1507260450842
t71,10261.118923644293,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9477.903859410955,2884.1406614608513,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2707.436277719237,1358.8787348555268,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1292.5407301731275
t72,9251.221417391502,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8468.006353158164,2595.109226533526,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2418.4048427919115,1429.9051676926026,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-1154.879888179079
t73,8551.334071747006,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7768.119007513668,2395.4147805837374,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2218.710396842123,1334.278170582233,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-1059.2528910687095
t74,8143.591894404568,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7360.37683017123,2278.751183213072,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2102.0467994714572,1068.845205158142,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1002.5072004757428
t75,7889.278474515728,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7106.06341028239,2206.2305686313066,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2029.5261848896919,1243.9054040823232,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-968.8801245687996
