Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
,,,,,,,360,105.53840000000001,620.235,233.5234
,,,,,,,361,98.05620000000002,577.7046,217.77140000000003
,,,,,,,362,70.884,417.428,157.1262
,,,,,,,363,65.3708,385.1364,144.91840000000002
,,,,,,,364,96.87480000000001,569.8286,214.621
,,,,,,,365,174.4534,1027.4242000000002,386.71160000000003
,,,,,,,366,286.2926,1685.464,634.8056
,,,,,,,367,432.39240000000007,2544.3418,958.1154
,,,,,,,368,590.7,3475.2850000000003,1308.5973999999999
,,,,,,,369,746.251,4390.0824,1653.1724
,,,,,,,370,827.7676,4871.6998,1834.7142000000003
,,,,,,,371,853.7584,5024.1004,1892.209
,,,,,,,372,890.7756,5240.6904,1973.7256
,,,,,,,373,947.8766,5577.7832,2100.5292000000004
,,,,,,,374,990.407,5826.6648000000005,2194.2536
,,,,,,,375,1036.4816,6099.5682,2297.0354
,,,,,,,376,1062.4724,6251.9688,2354.5302
,,,,,,,377,1010.8846000000001,5947.167600000001,2239.5406000000003
,,,,,,,378,915.1912,5385.215,2028.0700000000002
,,,,,,,379,759.6402,4470.4176,1683.4950000000001
,,,,,,,380,587.9434,3459.1392000000005,1302.6904
,,,,,,,381,448.932,2640.429,994.345
,,,,,,,382,347.72540000000004,2046.5786,770.6666
,,,,,,,383,244.15600000000003,1436.5824,541.0812000000001
,,,,,,,384,155.55100000000002,914.7974,344.57500000000005
,,,,,,,385,66.5522,390.6496,147.2812
,,,,,,,386,48.8312,286.68640000000005,107.90120000000002
,,,,,,,387,68.52120000000001,403.64500000000004,152.0068
,,,,,,,388,159.489,938.0316,353.2386000000001
,,,,,,,389,342.99980000000005,2019.0126000000002,760.4278
,,,,,,,390,551.32,3243.7306000000003,1221.5676
,,,,,,,391,682.0616000000001,4012.0344,1511.0106
,,,,,,,392,781.6930000000001,4598.4026,1731.5386
,,,,,,,393,823.4358000000001,4846.102800000001,1824.8692000000003
,,,,,,,394,787.9938000000001,4637.388800000001,1746.5030000000002
,,,,,,,395,783.662,4611.398,1736.6580000000001
,,,,,,,396,812.4094,4780.732000000001,1800.4536
,,,,,,,397,863.6034000000001,5080.4138,1913.0804
,,,,,,,398,896.6826000000001,5275.738600000001,1986.7210000000002
,,,,,,,399,969.5356000000002,5705.7681999999995,2148.5728000000004
,,,,,,,400,1029.3932,6057.4316,2281.2834000000003
,,,,,,,401,1000.6458000000001,5888.097600000001,2217.4878000000003
,,,,,,,402,940.7882000000001,5536.434200000001,2084.7772
,,,,,,,403,774.9984000000001,4559.4164,1716.968
,,,,,,,404,569.041,3347.6938000000005,1260.9476000000002
,,,,,,,405,411.91480000000007,2423.0514000000003,912.4346000000002
,,,,,,,406,309.92060000000004,1823.6878000000002,686.7872000000001
,,,,,,,407,183.90460000000002,1081.3748,407.1892
,,,,,,,408,103.96320000000001,612.359,230.373
,,,,,,,409,69.3088,407.9768,153.582
,,,,,,,410,50.800200000000004,299.288,112.6268
,,,,,,,411,71.67160000000001,421.75980000000004,158.7014
,,,,,,,412,166.57740000000004,979.3806000000001,368.5968
,,,,,,,413,358.358,2108.4052,793.9008
,,,,,,,414,575.7356,3386.6800000000003,1275.5182000000002
,,,,,,,415,711.9904,4189.2444000000005,1577.5628000000002
,,,,,,,416,815.9536,4801.2096,1807.9358
,,,,,,,417,860.0592,5059.5424,1905.5982000000001
,,,,,,,418,823.042,4842.1648000000005,1823.294
,,,,,,,419,818.3164,4814.9926000000005,1813.0552
,,,,,,,420,848.2452000000001,4991.808800000001,1880.0012000000002
,,,,,,,421,901.4082000000001,5304.486,1997.7474
,,,,,,,422,936.0626000000001,5508.4744,2074.5384
,,,,,,,423,1012.4598000000001,5957.406400000001,2243.4786
,,,,,,,424,1075.074,6324.821800000001,2381.7024
,,,,,,,425,1044.7514,6148.0056,2315.1502
,,,,,,,426,982.5310000000001,5780.5902,2176.9264000000003
,,,,,,,427,808.8652000000001,4760.6482000000005,1792.5776000000003
,,,,,,,428,594.2442,3495.3688000000006,1316.4734
,,,,,,,429,430.0296,2529.7712,952.6022000000002
,,,,,,,430,323.70360000000005,1904.0230000000001,717.1098000000001
,,,,,,,431,191.78060000000002,1129.0246000000002,425.30400000000003
,,,,,,,432,108.6888,639.1374000000001,240.61180000000002
,,,,,,,433,73.24680000000001,431.211,162.24560000000002
,,,,,,,434,53.55680000000001,316.2214,118.92760000000001
,,,,,,,435,75.6096,445.3878,167.7588
,,,,,,,436,175.6348,1034.5126,389.4682
