Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1
,,,,,,,983,92.081
,,,,,,,984,92.081
,,,,,,,985,92.081
,,,,,,,986,92.081
,,,,,,,987,92.081
,,,,,,,988,92.081
,,,,,,,989,92.081
,,,,,,,990,92.081
,,,,,,,991,92.081
,,,,,,,992,92.081
,,,,,,,993,92.081
,,,,,,,994,92.081
,,,,,,,995,92.081
,,,,,,,996,92.081
,,,,,,,997,92.081
,,,,,,,998,92.081
,,,,,,,999,92.081
,,,,,,,1000,92.081
,,,,,,,1001,92.081
,,,,,,,1002,92.081
,,,,,,,1003,92.081
,,,,,,,1004,92.081
,,,,,,,1005,92.081
,,,,,,,1006,92.081
,,,,,,,1007,92.081
,,,,,,,1008,92.081
,,,,,,,1009,92.081
,,,,,,,1010,92.081
,,,,,,,1011,92.081
,,,,,,,1012,92.081
,,,,,,,1013,92.081
,,,,,,,1014,92.081
,,,,,,,1015,92.081
,,,,,,,1016,92.081
,,,,,,,1017,92.081
,,,,,,,1018,92.081
,,,,,,,1019,92.081
,,,,,,,1020,92.081
,,,,,,,1021,92.081
,,,,,,,1022,92.081
,,,,,,,1023,92.081
,,,,,,,1024,92.081
,,,,,,,1025,92.081
,,,,,,,1026,92.081
