t,SE_Electrolyzer_H2Gen,MIDAT_Electrolyzer_H2Gen,NE_Electrolyzer_H2Gen,SE_Large_SMR_wCCS_96pct_H2Gen,MIDAT_Large_SMR_wCCS_96pct_H2Gen,NE_Large_SMR_wCCS_96pct_H2Gen,SE_ATR_wCCS_94pct_H2Gen,MIDAT_ATR_wCCS_94pct_H2Gen,NE_ATR_wCCS_94pct_H2Gen,SE_Above_ground_storage_H2Gen,MIDAT_Above_ground_storage_H2Gen,NE_Above_ground_storage_H2Gen
2557,18623.082148783335,9322.87846955918,5.9131127653955415,1.6764223370859632e-27,5.2815605021324096e-27,4.6256552411731374e-26,1.700860940971625e-27,6.199091466005987e-27,1808.0984811520625,3.078987111489199e-27,4.689199257564701e-27,2.8812306663449466e-27
2558,18623.082148783335,9322.87846955918,5.913112765395539,1.678255095791717e-27,5.283443798040549e-27,4.645142252196878e-26,1.6979666097722112e-27,6.159058594944122e-27,1808.0984811520514,3.1105608209483878e-27,4.73938278664673e-27,2.8824186163100124e-27
2559,18623.082148783335,9322.87846955918,5.913112765395541,1.6855230785898235e-27,5.2944859161697134e-27,4.6709530726616437e-26,1.7009556926086456e-27,6.125006757591371e-27,1808.0984811520527,3.202485196907392e-27,4.817268648140993e-27,2.8429356546315358e-27
2560,18623.082148783335,9322.87846955918,5.9131127653955415,1.6887726658064436e-27,5.2894546037590885e-27,4.6341092960071577e-26,1.6951836987956266e-27,6.064107898165801e-27,1808.0984811520505,3.2555682157957524e-27,4.853249585188106e-27,2.8605085679203343e-27
2561,18623.082148783335,9322.87846955918,5.91311276539554,1.7026520387606515e-27,5.311154753725159e-27,4.585815215999425e-26,1.6968072830035603e-27,6.0009085689089025e-27,1808.0984811520589,1.0082494595472033e-26,5.582041874659566e-27,2.9007042995792957e-27
2562,2069.231349864815,1164.0864455538324,5.91311276539554,1.747715895451863e-27,5.423484462115647e-27,4.660651778549805e-26,1.7196886394081252e-27,6.006928229111795e-27,1808.0984811520545,12701.768650135185,6201.913554446167,2.8781985488823937e-27
2563,2069.231349864815,2067.443921131901,5.9131127653955415,1.7906525580462152e-27,5.5315156075797055e-27,4.696246022945518e-26,1.7271066870282987e-27,6.078289084638999e-27,1808.0984811520505,12701.768650135185,5298.5560788681,2.9106399440864426e-27
2564,2069.231349864815,9322.87846955918,5.913112765395542,1.81070620740615e-27,5.565063053405868e-27,4.6940922422369325e-26,1.727375830292373e-27,6.1519276110917576e-27,1808.0984811520516,12701.768650135185,9.815318918531389e-27,2.9328724273244648e-27
2565,6585.142551754083,9322.87846955918,5.9131127653955415,1.81453548202104e-27,5.554306815805031e-27,4.6821274978627495e-26,1.728661252022958e-27,6.238008366687145e-27,1808.098481152049,8185.857448245916,5.6516678561208955e-27,2.8815403709815034e-27
2566,17873.807575353734,9322.87846955918,5.913112765395542,1.781075002305598e-27,5.4748460049556236e-27,4.6178855935481405e-26,1.720063324458123e-27,6.313557102631243e-27,1808.098481152049,1.040444500846711e-26,5.144064514101304e-27,2.887259599319297e-27
