Time_Index,lignite,coal,ng,ngccus90,oil,biomass,uranium,None
296,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
297,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
298,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
299,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
300,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
301,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
302,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
303,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
304,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
305,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
306,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
307,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
308,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
309,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
310,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
311,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
312,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
313,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
314,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
315,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
316,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
317,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
318,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
319,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
320,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
321,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
322,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
323,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
324,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
325,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
326,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
327,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
328,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
329,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
330,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
