Global_conventional_diesel_price_per_mmbtu,Conventional_diesel_co2_per_mmbtu,Syn_diesel_co2_per_mmbtu,Bio_diesel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
,,,,855,69613,44748,28273
,,,,856,69613,44748,28273
,,,,857,69613,44748,28273
,,,,858,69613,44748,28273
,,,,859,69613,44748,28273
,,,,860,69613,44748,28273
,,,,861,69613,44748,28273
,,,,862,69613,44748,28273
,,,,863,69613,44748,28273
,,,,864,69613,44748,28273
,,,,865,69613,44748,28273
,,,,866,69613,44748,28273
,,,,867,69613,44748,28273
,,,,868,69613,44748,28273
,,,,869,69613,44748,28273
,,,,870,69613,44748,28273
,,,,871,69613,44748,28273
,,,,872,69613,44748,28273
,,,,873,69613,44748,28273
,,,,874,69613,44748,28273
,,,,875,69613,44748,28273
,,,,876,69613,44748,28273
,,,,877,69613,44748,28273
,,,,878,69613,44748,28273
,,,,879,69613,44748,28273
,,,,880,69613,44748,28273
,,,,881,69613,44748,28273
,,,,882,69613,44748,28273
,,,,883,69613,44748,28273
