Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
,,,580,1569.36,881.63,315.01
,,,581,1569.36,881.63,315.01
,,,582,1569.36,881.63,315.01
,,,583,1569.36,881.63,315.01
,,,584,1569.36,881.63,315.01
,,,585,1569.36,881.63,315.01
,,,586,1569.36,881.63,315.01
,,,587,1569.36,881.63,315.01
,,,588,1569.36,881.63,315.01
,,,589,1569.36,881.63,315.01
,,,590,1569.36,881.63,315.01
,,,591,1569.36,881.63,315.01
,,,592,1569.36,881.63,315.01
,,,593,1569.36,881.63,315.01
,,,594,1569.36,881.63,315.01
,,,595,1569.36,881.63,315.01
,,,596,1569.36,881.63,315.01
,,,597,1569.36,881.63,315.01
,,,598,1569.36,881.63,315.01
,,,599,1569.36,881.63,315.01
,,,600,1569.36,881.63,315.01
,,,601,1569.36,881.63,315.01
,,,602,1569.36,881.63,315.01
,,,603,1569.36,881.63,315.01
,,,604,1569.36,881.63,315.01
,,,605,1569.36,881.63,315.01
,,,606,1569.36,881.63,315.01
,,,607,1569.36,881.63,315.01
,,,608,1569.36,881.63,315.01
,,,609,1569.36,881.63,315.01
,,,610,1569.36,881.63,315.01
,,,611,1569.36,881.63,315.01
,,,612,1569.36,881.63,315.01
,,,613,1569.36,881.63,315.01
,,,614,1569.36,881.63,315.01
,,,615,1569.36,881.63,315.01
,,,616,1569.36,881.63,315.01
,,,617,1569.36,881.63,315.01
,,,618,1569.36,881.63,315.01
,,,619,1569.36,881.63,315.01
,,,620,1569.36,881.63,315.01
,,,621,1569.36,881.63,315.01
,,,622,1569.36,881.63,315.01
,,,623,1569.36,881.63,315.01
,,,624,1569.36,881.63,315.01
,,,625,1569.36,881.63,315.01
,,,626,1569.36,881.63,315.01
,,,627,1569.36,881.63,315.01
,,,628,1569.36,881.63,315.01
,,,629,1569.36,881.63,315.01
,,,630,1569.36,881.63,315.01
,,,631,1569.36,881.63,315.01
,,,632,1569.36,881.63,315.01
,,,633,1569.36,881.63,315.01
,,,634,1569.36,881.63,315.01
,,,635,1569.36,881.63,315.01
,,,636,1569.36,881.63,315.01
,,,637,1569.36,881.63,315.01
,,,638,1569.36,881.63,315.01
,,,639,1569.36,881.63,315.01
,,,640,1569.36,881.63,315.01
,,,641,1569.36,881.63,315.01
,,,642,1569.36,881.63,315.01
,,,643,1569.36,881.63,315.01
,,,644,1569.36,881.63,315.01
,,,645,1569.36,881.63,315.01
,,,646,1569.36,881.63,315.01
,,,647,1569.36,881.63,315.01
