Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1
,,,,1237,59245
,,,,1238,59245
,,,,1239,59245
,,,,1240,59245
,,,,1241,59245
,,,,1242,59245
,,,,1243,59245
,,,,1244,59245
,,,,1245,59245
,,,,1246,59245
,,,,1247,59245
,,,,1248,59245
,,,,1249,59245
,,,,1250,59245
,,,,1251,59245
,,,,1252,59245
,,,,1253,59245
,,,,1254,59245
,,,,1255,59245
,,,,1256,59245
,,,,1257,59245
,,,,1258,59245
,,,,1259,59245
,,,,1260,59245
,,,,1261,59245
,,,,1262,59245
,,,,1263,59245
,,,,1264,59245
,,,,1265,59245
,,,,1266,59245
,,,,1267,59245
,,,,1268,59245
,,,,1269,59245
,,,,1270,59245
,,,,1271,59245
,,,,1272,59245
,,,,1273,59245
,,,,1274,59245
,,,,1275,59245
,,,,1276,59245
,,,,1277,59245
,,,,1278,59245
,,,,1279,59245
,,,,1280,59245
,,,,1281,59245
,,,,1282,59245
,,,,1283,59245
,,,,1284,59245
,,,,1285,59245
,,,,1286,59245
,,,,1287,59245
,,,,1288,59245
,,,,1289,59245
,,,,1290,59245
,,,,1291,59245
,,,,1292,59245
,,,,1293,59245
,,,,1294,59245
,,,,1295,59245
,,,,1296,59245
,,,,1297,59245
,,,,1298,59245
,,,,1299,59245
,,,,1300,59245
,,,,1301,59245
,,,,1302,59245
,,,,1303,59245
,,,,1304,59245
,,,,1305,59245
,,,,1306,59245
,,,,1307,59245
,,,,1308,59245
,,,,1309,59245
,,,,1310,59245
,,,,1311,59245
,,,,1312,59245
,,,,1313,59245
,,,,1314,59245
,,,,1315,59245
,,,,1316,59245
,,,,1317,59245
,,,,1318,59245
,,,,1319,59245
,,,,1320,59245
,,,,1321,59245
,,,,1322,59245
,,,,1323,59245
,,,,1324,59245
,,,,1325,59245
,,,,1326,59245
,,,,1327,59245
,,,,1328,59245
,,,,1329,59245
,,,,1330,59245
,,,,1331,59245
,,,,1332,59245
,,,,1333,59245
,,,,1334,59245
,,,,1335,59245
,,,,1336,59245
,,,,1337,59245
,,,,1338,59245
,,,,1339,59245
,,,,1340,59245
,,,,1341,59245
,,,,1342,59245
,,,,1343,59245
,,,,1344,59245
,,,,1345,59245
,,,,1346,59245
,,,,1347,59245
,,,,1348,59245
,,,,1349,59245
,,,,1350,59245
,,,,1351,59245
,,,,1352,59245
,,,,1353,59245
,,,,1354,59245
,,,,1355,59245
,,,,1356,59245
,,,,1357,59245
,,,,1358,59245
,,,,1359,59245
,,,,1360,59245
,,,,1361,59245
,,,,1362,59245
,,,,1363,59245
