Time_Index,None,MIDAT_reference_naturalgas,NE_reference_naturalgas,NE_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,MIDAT_reference_uranium
446,0,4.01,4.93,0.82,4.12,0.82,0.82
447,0,4.01,4.93,0.82,4.12,0.82,0.82
448,0,4.01,4.93,0.82,4.12,0.82,0.82
449,0,4.01,4.93,0.82,4.12,0.82,0.82
450,0,4.01,4.93,0.82,4.12,0.82,0.82
451,0,4.01,4.93,0.82,4.12,0.82,0.82
452,0,4.01,4.93,0.82,4.12,0.82,0.82
453,0,4.01,4.93,0.82,4.12,0.82,0.82
454,0,4.01,4.93,0.82,4.12,0.82,0.82
455,0,4.01,4.93,0.82,4.12,0.82,0.82
456,0,4.01,4.93,0.82,4.12,0.82,0.82
457,0,4.01,4.93,0.82,4.12,0.82,0.82
458,0,4.01,4.93,0.82,4.12,0.82,0.82
459,0,4.01,4.93,0.82,4.12,0.82,0.82
460,0,4.01,4.93,0.82,4.12,0.82,0.82
461,0,4.01,4.93,0.82,4.12,0.82,0.82
462,0,4.01,4.93,0.82,4.12,0.82,0.82
463,0,4.01,4.93,0.82,4.12,0.82,0.82
464,0,4.01,4.93,0.82,4.12,0.82,0.82
465,0,4.01,4.93,0.82,4.12,0.82,0.82
466,0,4.01,4.93,0.82,4.12,0.82,0.82
467,0,4.01,4.93,0.82,4.12,0.82,0.82
468,0,4.01,4.93,0.82,4.12,0.82,0.82
469,0,4.01,4.93,0.82,4.12,0.82,0.82
470,0,4.01,4.93,0.82,4.12,0.82,0.82
471,0,4.01,4.93,0.82,4.12,0.82,0.82
472,0,4.01,4.93,0.82,4.12,0.82,0.82
473,0,4.01,4.93,0.82,4.12,0.82,0.82
474,0,4.01,4.93,0.82,4.12,0.82,0.82
475,0,4.01,4.93,0.82,4.12,0.82,0.82
476,0,4.01,4.93,0.82,4.12,0.82,0.82
477,0,4.01,4.93,0.82,4.12,0.82,0.82
478,0,4.01,4.93,0.82,4.12,0.82,0.82
479,0,4.01,4.93,0.82,4.12,0.82,0.82
480,0,4.01,4.93,0.82,4.12,0.82,0.82
481,0,4.01,4.93,0.82,4.12,0.82,0.82
