Time_Index,lignite,coal,ng,ngccus90,oil,biomass,uranium,None,ng_dac_solvent,ng_dac_sorbent
214,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
215,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
216,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
217,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
218,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
219,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
220,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
221,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
222,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
223,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
224,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
225,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
226,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
227,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
228,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
229,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
230,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
231,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
232,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
233,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
234,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
235,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
236,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
237,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
238,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
239,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
240,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
241,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
242,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
243,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
244,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
245,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
246,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
247,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
248,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
249,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
250,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
251,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
252,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
253,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
254,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
255,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
256,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
257,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
258,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
259,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
260,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
261,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
262,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
263,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
264,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
265,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
266,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
267,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
268,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
269,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
270,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
271,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
272,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
273,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
274,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
275,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
276,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
277,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
278,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
279,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
280,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
281,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
282,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
283,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
